experiment,family,training_setup,source_domain,target_domain,model_variant,test_uar,test_wa,test_macro_f1,gain_vs_plain_chunk,gain_vs_stage1_chunk_domain_utt
iemocap_in_corpus_meanpool,baseline,in_corpus,iemocap,iemocap,meanpool,0.4775702807593398,0.5090782122905028,0.4822998088643489,-0.02843227956430816,
iemocap_in_corpus_attnpool,baseline,in_corpus,iemocap,iemocap,attnpool,0.5165280604679237,0.5,0.5089212005717026,0.010525500144275668,
iemocap_in_corpus_chunk,baseline,in_corpus,iemocap,iemocap,chunk,0.506002560323648,0.534217877094972,0.5054728162055179,0.0,
podcast_in_corpus_meanpool,baseline,in_corpus,podcast,podcast,meanpool,0.5058333333333334,0.5058333333333334,0.4957778748031957,-0.00374999999999992,
podcast_in_corpus_attnpool,baseline,in_corpus,podcast,podcast,attnpool,0.5104166666666666,0.5104166666666666,0.5062634000877845,0.0008333333333333526,
podcast_in_corpus_chunk,baseline,in_corpus,podcast,podcast,chunk,0.5095833333333333,0.5095833333333334,0.5036298899029179,0.0,
iemocap_to_podcast_meanpool,baseline,cross_single_source,iemocap,podcast,meanpool,0.36312500000000003,0.363125,0.309731358279013,0.0016666666666667052,-0.005624999999999991
iemocap_to_podcast_attnpool,baseline,cross_single_source,iemocap,podcast,attnpool,0.343125,0.343125,0.2977565662068763,-0.018333333333333313,-0.02562500000000001
iemocap_to_podcast_chunk,baseline,cross_single_source,iemocap,podcast,chunk,0.3614583333333333,0.3614583333333333,0.3031986771639473,0.0,-0.007291666666666696
podcast_to_iemocap_meanpool,baseline,cross_single_source,podcast,iemocap,meanpool,0.40288384508161046,0.3840782122905028,0.3803256271779479,-0.023327477179094225,-0.006123249070498715
podcast_to_iemocap_attnpool,baseline,cross_single_source,podcast,iemocap,attnpool,0.4147063280606997,0.37988826815642457,0.38076358527971427,-0.011504994200005003,0.005699233908590506
podcast_to_iemocap_chunk,baseline,cross_single_source,podcast,iemocap,chunk,0.4262113222607047,0.39106145251396646,0.3929999829109791,0.0,0.01720422810859551
iemocap_plus_cremad_to_podcast_meanpool,baseline,cross_multi_source,iemocap+crema_d,podcast,meanpool,0.3575,0.3575,0.30818834216422275,0.011041666666666616,0.007291666666666641
iemocap_plus_cremad_to_podcast_attnpool,baseline,cross_multi_source,iemocap+crema_d,podcast,attnpool,0.30979166666666663,0.3097916666666667,0.26035081485692646,-0.036666666666666736,-0.04041666666666671
iemocap_plus_cremad_to_podcast_chunk,baseline,cross_multi_source,iemocap+crema_d,podcast,chunk,0.34645833333333337,0.3464583333333333,0.3018444602100089,0.0,-0.0037499999999999756
iemocap_to_podcast_chunk_domain_utt,stage1,cross_single_source_uda,iemocap,podcast,chunk_domain_utt,0.36875,0.36875,0.3123457727794323,0.007291666666666696,0.0
podcast_to_iemocap_chunk_domain_utt,stage1,cross_single_source_uda,podcast,iemocap,chunk_domain_utt,0.4090070941521092,0.3854748603351955,0.38737291250045613,-0.01720422810859551,0.0
iemocap_plus_cremad_to_podcast_chunk_domain_utt,stage1,cross_multi_source_domain_adversarial,iemocap+crema_d,podcast,chunk_domain_utt,0.35020833333333334,0.35020833333333334,0.30840800036403804,0.0037499999999999756,0.0
iemocap_to_podcast_chunk_domain_both,stage2,cross_single_source_uda,iemocap,podcast,chunk_domain_both,0.3504166666666667,0.35041666666666665,0.2749126137085372,-0.011041666666666616,-0.018333333333333313
podcast_to_iemocap_chunk_domain_both,stage2,cross_single_source_uda,podcast,iemocap,chunk_domain_both,0.39501300708951675,0.37011173184357543,0.3711834393277844,-0.03119831517118793,-0.01399408706259242
iemocap_plus_cremad_to_podcast_chunk_domain_both,stage2,cross_multi_source_domain_adversarial,iemocap+crema_d,podcast,chunk_domain_both,0.35562499999999997,0.355625,0.30847108792133326,0.0091666666666666,0.005416666666666625
iemocap_to_podcast_chunk_domain_both_both_weakchunk,stage2_ablation,cross_single_source_uda,iemocap,podcast,chunk_domain_both_weakchunk,0.35083333333333333,0.35083333333333333,0.2758783198818606,-0.010624999999999996,-0.017916666666666692
