experiment,family,training_setup,source_domain,target_domain,model_variant,test_uar,test_wa,test_macro_f1,gain_vs_plain_chunk,gain_vs_stage1_chunk_domain_utt
iemocap_in_corpus_meanpool,baseline,in_corpus,iemocap,iemocap,meanpool,0.4776,0.5091,0.4823,-0.0284,
iemocap_in_corpus_attnpool,baseline,in_corpus,iemocap,iemocap,attnpool,0.5165,0.5000,0.5089,0.0105,
iemocap_in_corpus_chunk,baseline,in_corpus,iemocap,iemocap,chunk,0.5060,0.5342,0.5055,0.0000,
podcast_in_corpus_meanpool,baseline,in_corpus,podcast,podcast,meanpool,0.5058,0.5058,0.4958,-0.0037,
podcast_in_corpus_attnpool,baseline,in_corpus,podcast,podcast,attnpool,0.5104,0.5104,0.5063,0.0008,
podcast_in_corpus_chunk,baseline,in_corpus,podcast,podcast,chunk,0.5096,0.5096,0.5036,0.0000,
iemocap_to_podcast_meanpool,baseline,cross_single_source,iemocap,podcast,meanpool,0.3631,0.3631,0.3097,0.0017,-0.0056
iemocap_to_podcast_attnpool,baseline,cross_single_source,iemocap,podcast,attnpool,0.3431,0.3431,0.2978,-0.0183,-0.0256
iemocap_to_podcast_chunk,baseline,cross_single_source,iemocap,podcast,chunk,0.3615,0.3615,0.3032,0.0000,-0.0073
podcast_to_iemocap_meanpool,baseline,cross_single_source,podcast,iemocap,meanpool,0.4029,0.3841,0.3803,-0.0233,-0.0061
podcast_to_iemocap_attnpool,baseline,cross_single_source,podcast,iemocap,attnpool,0.4147,0.3799,0.3808,-0.0115,0.0057
podcast_to_iemocap_chunk,baseline,cross_single_source,podcast,iemocap,chunk,0.4262,0.3911,0.3930,0.0000,0.0172
iemocap_plus_cremad_to_podcast_meanpool,baseline,cross_multi_source,iemocap+crema_d,podcast,meanpool,0.3575,0.3575,0.3082,0.0110,0.0073
iemocap_plus_cremad_to_podcast_attnpool,baseline,cross_multi_source,iemocap+crema_d,podcast,attnpool,0.3098,0.3098,0.2604,-0.0367,-0.0404
iemocap_plus_cremad_to_podcast_chunk,baseline,cross_multi_source,iemocap+crema_d,podcast,chunk,0.3465,0.3465,0.3018,0.0000,-0.0037
iemocap_to_podcast_chunk_domain_utt,stage1,cross_single_source_uda,iemocap,podcast,chunk_domain_utt,0.3688,0.3688,0.3123,0.0073,0.0000
podcast_to_iemocap_chunk_domain_utt,stage1,cross_single_source_uda,podcast,iemocap,chunk_domain_utt,0.4090,0.3855,0.3874,-0.0172,0.0000
iemocap_plus_cremad_to_podcast_chunk_domain_utt,stage1,cross_multi_source_domain_adversarial,iemocap+crema_d,podcast,chunk_domain_utt,0.3502,0.3502,0.3084,0.0037,0.0000
iemocap_to_podcast_chunk_domain_both,stage2,cross_single_source_uda,iemocap,podcast,chunk_domain_both,0.3504,0.3504,0.2749,-0.0110,-0.0183
podcast_to_iemocap_chunk_domain_both,stage2,cross_single_source_uda,podcast,iemocap,chunk_domain_both,0.3950,0.3701,0.3712,-0.0312,-0.0140
iemocap_plus_cremad_to_podcast_chunk_domain_both,stage2,cross_multi_source_domain_adversarial,iemocap+crema_d,podcast,chunk_domain_both,0.3556,0.3556,0.3085,0.0092,0.0054
iemocap_to_podcast_chunk_domain_both_both_weakchunk,stage2_ablation,cross_single_source_uda,iemocap,podcast,chunk_domain_both_weakchunk,0.3508,0.3508,0.2759,-0.0106,-0.0179
